       0            1   -1.0798764 
     500    2.3896387   -1.0539303 
    1000    2.4664586   -1.0574798 
    1500    2.2501283   -1.0595628 
    2000    2.3426212   -1.0595444 
    2500     2.222269   -1.0596648 
    3000    2.5593101   -1.0603995 
    3500    2.2304125   -1.0583478 
    4000    2.2399023   -1.0549938 
    4500    2.3835002   -1.0590727 
    5000    2.3995925   -1.0633393 
    5500    2.3645156   -1.0582613 
    6000     2.351287   -1.0589294 
    6500    2.2298241   -1.0579061 
    7000    2.3858711   -1.0598185 
    7500    2.3325035   -1.0605613 
    8000    2.1840122   -1.0576957 
    8500    2.2403563   -1.0582196 
    9000    2.2283952   -1.0577842 
    9500    2.3262083    -1.057995 
   10000     2.405717   -1.0624381 
   10000     2.405717   -1.0624381 
   10500    2.3894586   -1.0579673 
   11000    2.2780121   -1.0571399 
   11500    2.3607245    -1.062034 
   12000    2.2369176   -1.0583052 
   12500    2.3116128   -1.0581229 
   13000    2.3062664   -1.0573722 
   13500    2.4232013   -1.0598065 
   14000     2.255058   -1.0595833 
   14500    2.2857189   -1.0568779 
   15000    2.2915772   -1.0582628 
   15500    2.3495816   -1.0597553 
   16000    2.2180598   -1.0576929 
   16500    2.3490423   -1.0597657 
   17000    2.3798746    -1.061863 
   17500    2.3536095   -1.0597579 
   18000    2.4021406   -1.0598623 
   18500    2.2953513   -1.0594223 
   19000    2.3323661   -1.0583494 
   19500    2.2564094   -1.0605226 
   20000    2.3321999   -1.0597839 
